language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,value,rel_dev,guarded
matlab,ip,10,1200,relative periodic,1,1,2,6,0,mobius,auto,inf,0.000466885144,612,0.418996040623629,3.331e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,9,0,bulger,auto,inf,0.000357209472,732,0.823849044433831,2.220e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,9,0,centres,auto,inf,0.000567264822,506,0.823849044433831,NaN,0
matlab,ip,10,1200,relative periodic,1,1,2,9,0,mobius,auto,inf,0.000760092014,192,0.823849044433832,1.110e-15,0
matlab,ip,10,1200,relative periodic,1,1,2,14,0,bulger,auto,inf,0.00141051243,114,0.799420608972593,1.110e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,14,0,centres,auto,inf,0.0019574848,148,0.799420608972593,NaN,0
matlab,ip,10,1200,relative periodic,1,1,2,14,0,mobius,auto,inf,0.000782909636,243,0.799420608972592,4.441e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,21,0,bulger,auto,inf,0.00267327879,110,0.960520494590069,0.000e+00,0
matlab,ip,10,1200,relative periodic,1,1,2,21,0,centres,auto,inf,0.00397649452,76,0.960520494590069,NaN,0
matlab,ip,10,1200,relative periodic,1,1,2,21,0,mobius,auto,inf,0.000759912387,370,0.960520494590069,4.441e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,32,0,bulger,auto,inf,0.0085821299,17,0.957868530124803,2.220e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,32,0,centres,auto,inf,0.0158003625,10,0.957868530124803,NaN,0
matlab,ip,10,1200,relative periodic,1,1,2,32,0,mobius,auto,inf,0.000737877572,243,0.957868530124803,1.110e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,48,0,bulger,auto,inf,0.0390845694,6,0.97573915489617,3.331e-16,0
matlab,ip,10,1200,relative periodic,1,1,2,48,0,centres,auto,inf,0.0749876458,2,0.97573915489617,NaN,0
matlab,ip,10,1200,relative periodic,1,1,2,48,0,mobius,auto,inf,0.000724265693,308,0.97573915489617,3.331e-16,0
matlab,ip,10,1200,relative periodic,1,1,3,6,0,bulger,auto,inf,0.000397366236,542,0.101176883213478,6.939e-17,0
