CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
4,4,16,0.0500,0,1953125,543.4016,267.1873,0.4917
4,4,16,0.2000,0,300763,59.6882,137.2881,2.3001
4,8,1,0.0020,0,7797729087,nan,nan,nan
4,8,1,0.0050,0,553387661,nan,nan,nan
4,8,1,0.0125,0,45499293,nan,nan,nan
4,8,1,0.0500,0,1953125,5.5712,5.1549,0.9253
4,8,1,0.2000,0,300763,7.1434,8.2412,1.1537
4,8,2,0.0020,0,7797729087,nan,nan,nan
4,8,2,0.0050,0,553387661,nan,nan,nan
4,8,2,0.0125,0,45499293,nan,nan,nan
4,8,2,0.0500,0,1953125,16.8908,15.1930,0.8995
4,8,2,0.2000,0,300763,12.0191,5.6343,0.4688
4,8,4,0.0020,0,7797729087,nan,nan,nan
4,8,4,0.0050,0,553387661,nan,nan,nan
4,8,4,0.0125,0,45499293,nan,nan,nan
4,8,4,0.0500,0,1953125,138.8037,56.1633,0.4046
4,8,4,0.2000,0,300763,21.3768,18.8349,0.8811
4,8,8,0.0020,0,7797729087,nan,nan,nan
4,8,8,0.0050,0,553387661,nan,nan,nan
4,8,8,0.0125,0,45499293,nan,nan,nan
4,8,8,0.0500,0,1953125,286.8163,220.5510,0.7690
4,8,8,0.2000,0,300763,35.2887,110.1649,3.1218
4,8,16,0.0020,0,7797729087,nan,nan,nan
4,8,16,0.0050,0,553387661,nan,nan,nan
4,8,16,0.0125,0,45499293,nan,nan,nan
4,8,16,0.0500,0,1953125,677.1956,910.7468,1.3449
4,8,16,0.2000,0,300763,59.2609,430.8484,7.2704
4,16,1,0.0020,0,7797729087,nan,nan,nan
4,16,1,0.0050,0,553387661,nan,nan,nan
4,16,1,0.0125,0,45499293,nan,nan,nan
4,16,1,0.0500,0,1953125,9.7300,9.5045,0.9768
4,16,1,0.2000,0,300763,7.6012,6.5665,0.8639
4,16,2,0.0020,0,7797729087,nan,nan,nan
4,16,2,0.0050,0,553387661,nan,nan,nan
