language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,absolute periodic,False,True,3,21,,centres,forced-by-method,inf,3.806377833010629,1,False,0.030483859542325173,nan
python,ip,10.0,1200.0,absolute periodic,False,True,3,21,,bulger,forced-by-method,inf,0.5841642080340534,1,False,0.03048385954232518,6.938893903907228e-18
python,ip,10.0,1200.0,absolute periodic,False,True,3,21,,mobius,forced-by-method,inf,0.0011953739837432902,246,False,0.030483859542325166,6.938893903907228e-18
python,ip,10.0,1200.0,absolute periodic,False,True,3,32,,centres,forced-by-method,inf,65.67806212499272,1,True,0.16773676129610857,nan
python,ip,10.0,1200.0,absolute periodic,False,True,3,32,,bulger,forced-by-method,inf,11.125224958988838,1,False,0.1677367612961086,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute periodic,False,True,3,32,,mobius,forced-by-method,inf,0.0015520317111319551,180,False,0.1677367612961085,5.551115123125783e-17
python,ip,10.0,1200.0,absolute periodic,False,True,3,48,,mobius,forced-by-method,inf,0.0016575590662586575,91,False,0.14698854471472855,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,6,,centres,forced-by-method,inf,0.00937857421922672,32,False,3.81036578194354e-21,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,6,,bulger,forced-by-method,inf,0.000751579049800601,321,False,3.81036578194354e-21,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,4,6,,mobius,forced-by-method,inf,0.004481879562263202,64,False,5.2574333338993625e-17,5.257052297321168e-17
python,ip,10.0,1200.0,absolute periodic,False,True,4,9,,centres,forced-by-method,inf,0.768225290987175,1,False,4.435010570248548e-14,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,9,,bulger,forced-by-method,inf,0.0330801562522538,8,False,4.435010570248548e-14,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,4,9,,mobius,forced-by-method,inf,0.004772865967242979,60,False,4.435088887245642e-14,7.83169970940934e-19
