# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,6,16,asym,decay,1,25,1,400,20,30,2.7948,4.8742,1.4229,8.9173,24.4560,3.109e-15,centres,mobius,,,
2,5,6,64,asym,decay,0,3,1,2441,20,30,22.6465,59.8511,56.6824,129.7067,316.2960,9.992e-15,centres,bulger,,,
2,5,6,64,asym,decay,1,3,1,3332,20,30,35.5811,76.1261,25.2375,142.6773,316.2960,2.220e-16,centres,mobius,,,
2,5,6,64,asym,decay,0,25,1,335,20,30,123.7582,63.1773,8.7331,129.7067,316.2960,4.441e-16,centres,mobius,,,
2,5,6,64,asym,decay,1,25,1,400,20,30,49.2808,72.9487,5.4135,142.6773,316.2960,2.220e-16,centres,mobius,,,
2,5,6,1,asym,bimodal,0,3,1,1798,20,30,0.2996,0.1958,1.1705,0.0317,5.0760,1.299e-14,centres,mobius,,,
2,5,6,1,asym,bimodal,1,3,1,3332,20,30,0.0922,0.1832,0.8180,0.0348,5.0760,4.246e-14,centres,bulger,,,
2,5,6,1,asym,bimodal,0,25,1,187,20,30,0.3221,0.1955,0.2925,0.0317,5.0760,5.140e-14,centres,mobius,,,
2,5,6,1,asym,bimodal,1,25,1,400,20,30,0.1031,0.1804,0.2413,0.0348,5.0760,2.465e-12,centres,bulger,,,
2,5,6,4,asym,bimodal,0,3,1,2300,20,30,0.4009,0.7501,4.1778,0.5067,6.2160,5.584e-14,centres,bulger,,,
2,5,6,4,asym,bimodal,1,3,1,3332,20,30,0.1694,0.7508,2.7298,0.5573,6.2160,2.770e-14,centres,bulger,,,
2,5,6,4,asym,bimodal,0,25,1,295,20,30,0.6797,0.7335,0.6707,0.5067,6.2160,8.382e-14,centres,mobius,,,
2,5,6,4,asym,bimodal,1,25,1,400,20,30,0.3535,0.8797,0.4637,0.5573,6.2160,1.193e-13,centres,bulger,,,
2,5,6,16,asym,bimodal,0,3,1,2396,20,30,2.1322,4.3914,16.4444,8.1067,24.4560,6.672e-14,centres,bulger,,,
2,5,6,16,asym,bimodal,1,3,1,3332,20,30,2.0562,5.1612,8.8987,8.9173,24.4560,1.299e-14,centres,bulger,,,
2,5,6,16,asym,bimodal,0,25,1,327,20,30,7.9890,4.3749,2.2378,8.1067,24.4560,2.220e-16,centres,mobius,,,
2,5,6,16,asym,bimodal,1,25,1,400,20,30,3.1685,4.9437,1.4192,8.9173,24.4560,1.443e-15,centres,mobius,,,
2,5,6,64,asym,bimodal,0,3,1,2428,20,30,22.5259,60.8055,54.5693,129.7067,316.2960,2.032e-14,centres,bulger,,,
2,5,6,64,asym,bimodal,1,3,1,3332,20,30,34.2200,72.6129,32.2935,142.6773,316.2960,3.331e-16,centres,mobius,,,
2,5,6,64,asym,bimodal,0,25,1,334,20,30,122.4630,62.9903,8.8059,129.7067,316.2960,5.551e-16,centres,mobius,,,
