# calibrateRelIpCost
# generated 2026-08-01 15:51:46
# matlab 26.1.0.3251617 (R2026a) Update 2 on MACA64
# truncationSigmas 6, period 1200
# budgetSec 5, seeds 1
# times in milliseconds. Inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. NaN
# means the arm is inadmissible in that mode, or errored. A declined_ column
# reads - when the arm was measured normally.
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,6,64,asym,flat,0,3,1,2436,20,30,14.7799,11.7014,33.4357,129.7067,316.2960,1.765e-14,grid,mobius,-,-,-
2,5,6,64,asym,flat,1,3,1,3332,20,30,18.0838,13.9236,25.1724,142.6773,316.2960,5.551e-16,grid,mobius,-,-,-
2,5,6,64,asym,flat,0,25,1,335,20,30,19.1154,12.8432,12.7686,129.7067,316.2960,3.331e-16,grid,mobius,-,-,-
2,5,6,64,asym,flat,1,25,1,400,20,30,23.9605,13.6182,7.4963,142.6773,316.2960,1.110e-16,grid,mobius,-,-,-
2,5,6,1,asym,decay,0,3,1,1610,20,30,0.2259,0.2369,0.7868,0.0317,5.0760,2.284e-14,centres,bulger,-,-,-
2,5,6,1,asym,decay,1,3,1,3332,20,30,0.2069,0.2364,0.7877,0.0348,5.0760,2.056e-14,centres,bulger,-,-,-
2,5,6,1,asym,decay,0,25,1,228,20,30,0.2436,0.2880,0.4247,0.0317,5.0760,1.309e-12,centres,bulger,-,-,-
2,5,6,1,asym,decay,1,25,1,400,20,30,0.2404,0.2886,0.3382,0.0348,5.0760,1.574e-12,centres,bulger,-,-,-
2,5,6,4,asym,decay,0,3,1,2195,20,30,0.4606,0.6244,2.6325,0.5067,6.2160,1.513e-14,grid,bulger,-,-,-
2,5,6,4,asym,decay,1,3,1,3332,20,30,0.5605,0.6335,1.9173,0.5573,6.2160,4.086e-14,grid,bulger,-,-,-
2,5,6,4,asym,decay,0,25,1,304,20,30,0.4877,0.5466,0.9523,0.5067,6.2160,8.948e-14,grid,bulger,-,-,-
2,5,6,4,asym,decay,1,25,1,400,20,30,0.6423,0.6434,0.6596,0.5573,6.2160,1.219e-13,grid,bulger,-,-,-
2,5,6,16,asym,decay,0,3,1,2395,20,30,2.1795,1.5227,8.5180,8.1067,24.4560,2.931e-14,grid,mobius,-,-,-
2,5,6,16,asym,decay,1,3,1,3332,20,30,2.3607,1.7119,6.0819,8.9173,24.4560,1.665e-15,grid,mobius,-,-,-
2,5,6,16,asym,decay,0,25,1,329,20,30,2.4732,1.6652,3.2584,8.1067,24.4560,1.887e-15,grid,mobius,-,-,-
2,5,6,16,asym,decay,1,25,1,400,20,30,2.8520,1.6771,1.9808,8.9173,24.4560,8.882e-16,grid,mobius,-,-,-
2,5,6,64,asym,decay,0,3,1,2436,20,30,15.0642,11.7160,31.8986,129.7067,316.2960,1.632e-14,grid,mobius,-,-,-
2,5,6,64,asym,decay,1,3,1,3332,20,30,17.7075,12.8849,22.7209,142.6773,316.2960,7.772e-16,grid,mobius,-,-,-
2,5,6,64,asym,decay,0,25,1,335,20,30,18.8322,13.1397,12.6816,129.7067,316.2960,9.992e-16,grid,mobius,-,-,-
2,5,6,64,asym,decay,1,25,1,400,20,30,24.6403,14.0394,7.7134,142.6773,316.2960,1.110e-15,grid,mobius,-,-,-
